Момент времени (сут),ID Состояния,Название погоды
0.0,1,Ясно
1.9016,3,Пасмурно
1.9965,2,Облачно
1.9998,3,Пасмурно
4.9819,2,Облачно
5.0436,1,Ясно
5.631,2,Облачно
9.0915,1,Ясно
10.4492,3,Пасмурно
13.463,2,Облачно
15.9548,1,Ясно
17.154,3,Пасмурно
17.2793,2,Облачно
17.3373,3,Пасмурно
19.1867,2,Облачно
19.2593,3,Пасмурно
19.8764,2,Облачно
20.5082,1,Ясно
22.5441,2,Облачно
22.9748,1,Ясно
22.9905,3,Пасмурно
24.3946,1,Ясно
24.3994,3,Пасмурно
29.3137,2,Облачно
30.3825,1,Ясно
32.8031,3,Пасмурно
32.8931,2,Облачно
33.0427,1,Ясно
33.6355,2,Облачно
33.9871,1,Ясно
34.2436,2,Облачно
36.4543,1,Ясно
38.4009,2,Облачно
40.9286,3,Пасмурно
41.5659,2,Облачно
41.6909,3,Пасмурно
42.1923,2,Облачно
44.5322,1,Ясно
47.7824,3,Пасмурно
47.8973,2,Облачно
49.5209,3,Пасмурно
52.2533,1,Ясно
53.6821,2,Облачно
56.8533,1,Ясно
58.4081,2,Облачно
61.9414,1,Ясно
62.3559,2,Облачно
62.4525,3,Пасмурно
63.1355,2,Облачно
63.3651,3,Пасмурно
64.0642,2,Облачно
67.0532,3,Пасмурно
67.3335,2,Облачно
68.802,3,Пасмурно
69.037,2,Облачно
71.5993,3,Пасмурно
71.9679,2,Облачно
73.2784,1,Ясно
73.4633,2,Облачно
73.5507,3,Пасмурно
74.6539,2,Облачно
78.2768,1,Ясно
80.2767,3,Пасмурно
81.4949,2,Облачно
81.5829,1,Ясно
83.8907,3,Пасмурно
85.28,2,Облачно
91.7454,3,Пасмурно
92.1973,2,Облачно
94.6066,3,Пасмурно
95.0509,2,Облачно
95.4924,1,Ясно
95.5645,2,Облачно
96.5395,1,Ясно
97.5756,2,Облачно
98.9985,3,Пасмурно
100.0689,2,Облачно
101.0591,1,Ясно
104.5244,3,Пасмурно
104.8992,2,Облачно
106.1156,3,Пасмурно
106.3381,1,Ясно
108.0822,2,Облачно
109.6989,3,Пасмурно
109.8267,2,Облачно
112.2198,3,Пасмурно
113.534,2,Облачно
